"Dewey classification","BL record ID","Type of resource","Content type","Material type","BNB number","Archival Resource Key","ISBN","Name","Dates associated with name","Type of name","Role","All names","Title","Variant titles","Series title","Number within series","Country of publication","Place of creation/publication","Publisher","Date of creation/publication","Edition","Physical description","BL shelfmark","Topics","Genre","Languages","Notes","Provenance"
"016.8238","007432175","Monograph","Language material ; Text","Volume","GB8311404","","9780824097707","Passel, Anne","","person","","Passel, Anne [person]","Charlotte and Emily Brontë : an annotated bibliography","","Garland reference library of the humanities","volume 167 [Garland reference library of the humanities]","England ; United States of America","London ; New York","Garland","1979","","x, 359 pages, 22 cm","4072.280000 ; X.950/18658","Fiction in English--Brontë, Charlotte & Brontë, Emily--Bibliographies ; Brontë, Emily, 1818-1848--Bibliography ; Brontë, Charlotte, 1816-1855--Bibliography","","English","Includes indexes",""
"016.8238","008274812","Monograph","Language material ; Text","Volume","","","9780930466565","Alexander, Christine (Christine Anne)","","person","","Alexander, Christine (Christine Anne) [person]","A bibliography of the manuscripts of Charlotte Brontë","","","","United States of America","Westport, Connecticut","Brontë Society ; Meckler Pub","1982","","xx, 205 pages, illustrations, 26 cm","83/11463","Brontë, Charlotte, 1816-1855--Manuscripts--Catalogs ; Manuscripts, English--Catalogs","","English","",""
"016.8238","008814645","Monograph","Language material ; Text","Volume","GB8232890","","9780950582917","Alexander, Christine (Christine Anne)","","person","","Brontë, Charlotte, 1816-1855 [person] ; Alexander, Christine (Christine Anne) [person]","A bibliography of the manuscripts of Charlotte Brontë","","","","England","Haworth","Brontë Society ; Meckler","1982","","xx, 205 pages, 2 facsimiles, 27 cm","2702.f.96","Brontë, Charlotte, 1816-1855--Manuscripts--Catalogs ; Fiction in English--Brontë, Charlotte--Manuscripts--Bibliographies","","English","",""
"070.52092","013658597","Monograph","Language material ; Text","Volume","GBA774620","","","Penty, Norman E.","","person","","Penty, Norman E. [person]","The discovery of Charlotte Bronte : William Smith Williams 1800 - 1875 : a genealogical quest","","","","England","","N.E. Penty","2006","","40 pages, portraits, 21 cm","YC.2007.a.13005","Williams, William Smith, 1800-1875 ; Publishers and publishing--Great Britain--Biography ; Brontë, Charlotte, 1816-1855","Biography","English","Title from cover",""
"082.8","010662415","Monograph","Language material ; Text","Volume","GB9514699","","9780099386018","Gordon, Lyndall","","person","","Gordon, Lyndall [person]","Charlotte Brontë : a passionate life","","","","England","London","Vintage","1995","","xii, 418 pages, 16 pages of plates","YK.1996.a.5338","Brontë, Charlotte, 1816-1855--Biography ; Authors, English--19th century--Biography ; English fiction","","English","",""
"302.23","009161751","Monograph","Language material ; Text","Online resource","","","","Menon, Patricia","","person","","Menon, Patricia [person]","New Abelards : the mentor-lover in the novels of Jane Austen, Charlotte Bronte and George Eliot","","","","","","University of London Press","1998","","","299888","Performing arts ; Mass media ; Austen, Jane, 1775-1817 ; Brontë, Charlotte, 1816-1855 ; Literature ; Eliot, George, 1819-1880","","","",""
"372.412","007693282","Monograph","Language material ; Text","Volume","GBA414406","","9781844661992","","","","","Dooley, Jenny [person]","Jane Eyre, Charlotte Brontë, retold by Jenny Dooley : teacher's book","Jane Eyre","Classic readers","","England","Newbury","Express","2003","","64 pages, colour illustrations, 21 cm","","Brontë, Charlotte, 1816-1855--Study and teaching (Elementary) ; English language--Study and teaching (Elementary) ; Readers (Elementary)","","English","",""
"428.6","006990910","Monograph","Language material ; Text","Volume","GB6217162","","","Brontë, Charlotte","1816-1855","person","","Brontë, Charlotte, 1816-1855 [person]","Jane Eyre","","English picture readers, pictorial classic series","","United Kingdom","","Oxford University Press","1961","","128 pages, illustrations, 19 cm","","","","English","This edition originally published (B5718576) 1957",""
"428.6","007033986","Monograph","Kit","","GBA357636","","9781844660711","Dooley, Jenny","","person","","Brontë, Charlotte, 1816-1855 [person] ; Dooley, Jenny [person]","Jane Eyre","","Classic readers. Level 4","","England","Newbury","Expres Publishing","2003","","1 audio CD ; 111 pages, colour illustrations, 1 portrait, 21 cm","","English language--Textbooks for foreign speakers ; Readers (Elementary)","Textbook","English","",""
"428.6","010694602","Monograph","Language material ; Text","Volume","GB9325053","","9780582088917","Swan, D. K.","","person","","Low, Mei-Yim [person] ; Brontë, Charlotte, 1816-1855 [person] ; Swan, D. K. [person]","Jane Eyre","","","","England","","Longman","1992","","48 pages","YK.1993.a.13774","English language--Reading books","","English","",""
"428.6","010694824","Monograph","Language material ; Text","Volume","GB9344008","","9780582096707","Attwood, E. M. (Evelyn May)","1906-","person","","Brontë, Charlotte, 1816-1855 [person] ; Attwood, E. M. (Evelyn May), 1906- [person]","Jane Eyre","","Longman fiction simplified edition","","England","Harlow","Longman","1993","","160 pages, 20 cm","H.93/3006","English language--Reading books","","English","",""
"428.6","010699636","Monograph","Language material ; Text","Volume","GBA104780","","9780582401907","Ward, Ann","1941-","person","","Ward, Ann, 1941- [person] ; Brontë, Charlotte, 1816-1855 [person]","Jane Eyre","","Penguin readers. Level 3","","England","Harlow","Addison Wesley Longman","1998","","46 pages, illustrations, 20 cm","YK.2001.a.701","England--Social life and customs--19th century--Fiction ; Governesses--Fiction ; Orphans--England--Fiction ; Man-woman relationships--Fiction","Fiction ; Reader","English","Originally published: Penguin, 1991",""
"428.6","010700018","Monograph","Language material ; Text","Volume","GBA014639","","9780582417809","Ward, Ann","1941-","person","","Ward, Ann, 1941- [person] ; Brontë, Charlotte, 1816-1855 [person]","Jane Eyre","","Penguin readers. Level 3","","England","Harlow","Pearson","1999","","vii, 39 pages, illustrations, 20 cm","YK.2000.a.2232","England--Social life and customs--19th century--Fiction ; Governesses--England--Fiction ; Man-woman relationships--England--Fiction ; Orphans--England--Fiction","Fiction ; Reader","English","Originally published: London : Penguin, 1991",""
"428.6","010701600","Monograph","Language material ; Text","Volume","GB7635195","","9780582538436","Ullstein, Sue","","person","","Ullstein, Sue [person] ; Brontë, Charlotte, 1816-1855 [person]","Jane Eyre","","New method supplementary readers. stage 4","","England","London","Longman","1976","","2, 109 pages, illustrations, 19 cm","WP.8655/27 (10)","English language--Texts ; Readers--1950-","","English","",""
"428.6","010701620","Monograph","Language material ; Text","Volume","GB8935297","","9780582541252","Swan, D. K.","","person","","Brontë, Charlotte, 1816-1855 [person] ; Swan, D. K. [person]","Jane Eyre","","","","England","","Longman","1985","Easy reading edition","32 pages","YC.1989.a.4045","English language--Texts ; Readers--1950-","","English","",""
"428.6","010701638","Monograph","Language material ; Text","Volume","GB8749683","","9780582541610","Ullstein, Sue","","person","","Ullstein, Sue [person] ; Brontë, Charlotte, 1816-1855 [person]","Jane Eyre","","Longman classics. Stage 4","","England","Harlow","Longman","1987","","74 pages, colour illustrations, 20 cm","YK.1987.a.6643","English language--Texts ; Readers--1950-","","English","",""
"428.6","011934267","Monograph","Language material ; Text","Volume","GB9214607","","9780140810301","Ward, Ann","1941-","person","","Ward, Ann, 1941- [person] ; Brontë, Charlotte, 1816-1855 [person]","Jane Eyre","","Simply stories. Level 2","","England","London","Penguin","1991","","48 pages, illustrations, 20 cm","YK.1992.a.2731","English language--Reading books","","English","",""
"428.6","011943945","Monograph","Language material ; Text","Volume","GB9125444","","9780194216326","West, Clare","","person","","West, Clare [person] ; Brontë, Charlotte, 1816-1855 [person]","Jane Eyre","","Oxford bookworms. Stage 6","","England","Oxford","Oxford University Press","1990","","105 pages, portraits, 20 cm","YK.1991.a.3041","English language--Reading books ; English fiction","","English","",""
"428.6","011944295","Monograph","Language material ; Text","Volume","GBA020417","","9780194230889","West, Clare","","person","","West, Clare [person] ; Brontë, Charlotte, 1816-1855 [person]","Jane Eyre","","Oxford bookworms library. Classics. Stage 6","","England","Oxford","Oxford University Press","2000","2nd edition","120 pages, 20 cm","H.2001/2250","","","English","Previous edition: 1990",""
"428.6","012596112","Monograph","Language material ; Text","Volume","GB9444684","","9780195852752","Brontë, Charlotte","1816-1855","person","","Brontë, Charlotte, 1816-1855 [person]","Jane Eyre","","Oxford progressive English readers. Grade 1","","England ; Hong Kong","Oxford","Oxford University Press","1993","","57 pages, illustrations, 21 cm","H.94/2270","English language--Reading books","","English","Abridged",""
"428.6","012603812","Monograph","Language material ; Text","Volume","GBA011734","","9780198337805","Culshaw, Chris","","person","","Brontë, Charlotte, 1816-1855 [person] ; Culshaw, Chris [person]","Jane Eyre","","Headwork classics","","England","Oxford","Oxford University Press","1999","","92 pages, illustrations, 22 cm","YK.2001.a.5553","","","English","",""
