"Title","Other titles","BL record ID","Type of resource","Content type","Material type","BNB number","Archival Resource Key","ISBN","Name","Dates associated with name","Type of name","Role","All names","Series title","Number within series","Country of publication","Place of publication","Publisher","Date of creation/publication","Edition","Physical description","Dewey classification","BL shelfmark","Topics","Genre","Languages","Notes","Provenance"
"''The Foundling'' by Charlotte Brontë","","040-001978236","File. Archives and Manuscripts","","","","ark:/81055/vdc_100000001408.0x00027e","","Brontë, Charlotte, author","1816-1855","person","author","Brontë, Charlotte, author, 1816-1855 [author]","","","","","","1833","","1 item","","Western Manuscripts. Ashley MS 159","","","English","''The foundling'': a tale written at the age of seventeen by Charlotte Brontë; 1833. Autograph fair copy with revisions and deletions, written in minute characters in imitation of print on both sides of nine octavo leaves of white laid paper. No watermark. The leaves have been bound by Charlotte to form one gathering of ten (10 is a stub) in brown sugar-paper wrappers. The title-page (f. 1) is signed ''Charlotte Brontë'', and bears the note ''This Book was begun May 31st 1833 and finished June the 27th 1833''. The Preface (f. 1b), attributed to Captain Tree, the pseudonymous author of the tale, is in Charlotte''s normal hand. At the foot of f. 2 is the note ''begun May 31st 1833'', while the end of the tale (f. 9b) is signed and dated ''Charlotte Brontë/Haworth June 27th - 1833''. The tale includes the following verses: burlesque verses, beginning ''Eaniala is a gurt bellaring bull'', f. 2b; ''The Swiss Emigrant''s Return'' (first printed, by Wise, in The Swiss Emigrant''s Return and Other Poems, 1917), 5b; ''Seranade'' (sic) (first printed in The Swiss Emigrant''s Return), ff. 5b-6; ''O wind that o''er the ocean'' (first published in The Complete Poems of Charlotte Brontë, 1923, as ''Destiny''), ff. 6b-7; ''Sound a lament in the halls of his father'' (first printed in The Swiss Emigrant''s Return as ''A Lament''), ff. 8b-9. The whole tale was first published in The Shakespeare Head Brontë, Miscellaneous and Unpublished Writings of Charlotte and P. B. Brontë, i, pp. 220-295. Ashley Library Catalogue, i, p. 70 (facsimile of ff. 1 and 7). Octavo; ff. ii+9. Tales: Charlotte Brontë, author: ''The Foundling'': a tale by Charlotte Brontë: 1833: Autogr. fair copy",""
"'Indian ink' : colonialism and the figurative strategy of Jane Eyre","Charlotte Brontë's Jane Eyre ; Fairies and feminism : recurrent patterns in Chaucer's 'The wife of Bath's tale' and Brontë's Jane Eyre ; Jane Eyre ; Jane Eyre : lurid hieroglyphics ; Jane Eyre and the secrets of furious lovemaking ; St. John's way and the wayward reader ; The enigma of St. John Rivers ; The wild English girl : Jane Eyre ; Thornfield and 'the dream to repose on' : Jane Eyre ; Triumph and jeopardy : the shape of Jane Eyre","013673741","Monograph","Language material ; Text","Volume","GBA713279","","9780791093047","","","","","Bloom, Harold [person]","Bloom's modern critical interpretations","","United States of America","New York","Chelsea House","2007","Updated edition","vii, 235 pages","823.8","YC.2007.a.2495","Governesses in literature ; Brontë, Charlotte, 1816-1855","","English","",""
"'Jane Eyre' and 'Wuthering Heights' : a study guide","","007375395","Monograph","Language material ; Text","Volume","GB7629744","","9780435186609","Oldfield, Jenny","1949-","person","","Oldfield, Jenny, 1949- [person]","","","England","London","Heinemann","1976","","10, 115 pages, 19 cm","823.8","78/0460 ; X.908/40590","Brontë, Emily, 1818-1848 ; Fiction in English--Brontë, Charlotte--1816-1855 ; Fiction in English--Brontë, Emily--1818-1848 ; Brontë, Charlotte, 1816-1855","","English","",""
"'Jane Eyre'","","010683512","Monograph","Language material ; Text","Volume","GB7931983","","9780335054213","Havely, Cicely Palser","","person","","Havely, Cicely Palser [person] ; Open University [organisation]","A101 ; An arts foundation course [arts and society in an age of industrialization]","26 and 27 [A101] ; units 26-27 [An arts foundation course [arts and society in an age of industrialization]]","England","Milton Keynes","Open University Press","1979","","64 pages, 1 colour portraits (on front cover), 30 cm","823.8","X.0512/573 (4)","Fiction in English--Brontë, Charlotte--1816-1855 ; Brontë, Charlotte, 1816-1855","","English","With answers",""
"'More precious than rubies' : Mary Taylor: friend of Charlotte Brontë, strong-minded woman","Mary Taylor","009498018","Monograph","Language material ; Text","Volume","GBA256796","","9781902645285","Bellamy, Joan","1926-","person","","Bellamy, Joan, 1926- [person]","","","England","Beverley","Highgate","2002","New edition","viii, 168 pages, illustrations, 21 cm","823.8","YC.2003.a.2138","Taylor, Mary, 1817-1893 ; Authors, English--19th century--Biography ; Women authors, English--19th century--Biography ; Brontë, Charlotte, 1816-1855--Friends and associates","Biography","English","Previous edition published as: Mary Taylor. Huddersfield : Kirklees Cultural Services, 1997",""
"'Possibilities of hidden things' : narrative transgression in Victorian fictional autobiographies","","008595480","Monograph","Language material ; Text","Volume","","","9780820428727","Lee, Hsiao-Hung","1953-","person","","Lee, Hsiao-Hung, 1953- [person]","Studies in nineteenth-century British literature","volume 5 [Studies in nineteenth-century British literature]","United States of America","New York","Peter Lang","1996","","xiii, 178 pages, 24 cm","","YA.1997.b.6204","First person narrative ; Brontë, Charlotte, 1816-1855 ; Autobiographical fiction, English--History and criticism ; Dickens, Charles, 1812-1870 ; Narration (Rhetoric) ; Self in literature ; English fiction--19th century--History and criticism","","English","",""
"'We are three sisters' : self and family in the writing of the Brontës","","006620659","Monograph","Language material ; Text","Volume","","","9780826214362","Lamonica, Drew","1973-","person","","Lamonica, Drew, 1973- [person]","","","United States of America","Columbia","University of Missouri Press","2003","","","823.809","m03/19575","Brontë, Anne, 1820-1849--Criticism and interpretation ; Sisters in literature ; Autobiography in literature ; Yorkshire (England)--In literature ; Brontë family ; Family in literature ; Brontë, Charlotte, 1816-1855--Criticism and interpretation ; Self in literature ; Brontë, Emily, 1818-1848--Criticism and interpretation ; Women and literature--England--Yorkshire--History--19th century","","English","",""
"'We are three sisters' : self and family in the writing of the Brontës","","008100624","Monograph","Language material ; Text","Volume","GBA385499","","9780826214362","Lamonica, Drew","1973-","person","","Lamonica, Drew, 1973- [person]","","","England","Columbia ; London","University of Missouri Press","2003","","xi, 260 pages, 25 cm","823.809","YC.2003.a.20448","Brontë, Anne, 1820-1849--Criticism and interpretation ; Sisters in literature ; Autobiography in literature ; Yorkshire (England)--In literature ; Brontë family ; Family in literature ; Brontë, Charlotte, 1816-1855--Criticism and interpretation ; Self in literature ; Brontë, Emily, 1818-1848--Criticism and interpretation ; Women and literature--England--Yorkshire--History--19th century","","English","",""
"(A-D). FOUR LETTERS Of Charlotte Brontë to Prof. Constantin Heger the original of Paul Emanuel in 'Villette'; 24 July, 1844 - 18 Nov. 1845?. French. That of 18 Nov. has a postscript in English. Described, published, and translated by Marion H. Spielmann in The Times, 29 July, 1913 (see also the issues of 30 and 31 July). The letters, three of which had been torn up, are preserved separately between glass plates. Presented by Dr. Paul Heger, M.D, LL.D, and his sisters","","032-002058050","Fonds. Archives and Manuscripts","","","","ark:/81055/vdc_100000000039.0x000292","","","","","","Heger, Paul, MD, LL.D [former owner]","","","","","","24 Jul 1844-18 Nov 1845?","","1 item","","Western Manuscripts. Add MS 38732","Brontë, Charlotte, author, 1816-1855 ; Heger, Constantin, Professor; of Brussels","","English ; French","Professor Constantin Heger, of Brussels: Letters to, from C. Brontë: 1844, 1845.: Fr. Charlotte Brontë, author: Letters to C. Heger: 1844, 1845","Paul Heger, MD, LL.D: Presented: in 1913"
"A Brontë family chronology","","011625502","Monograph","Language material ; Text","Volume","GBA3V7618","","9781403901125","Chitham, Edward","","person","","Chitham, Edward [person]","Author chronologies","","England","Basingstoke","Palgrave Macmillan","2003","","xii, 318 pages, illustrations, 23 cm","823.809","YC.2005.a.5546 ; m03/41316","Authors, English--19th century--Chronology ; Brontë, Charlotte, 1816-1855--Chronology ; Women authors, English--Chronology ; Brontë, Emily, 1818-1848--Chronology ; Brontë family--Chronology ; English literature--19th century--Chronology ; Brontë, Anne, 1820-1849--Chronology","Chronology","English","",""
