"Topic","Type of topic","BL record ID","Type of resource","Content type","Material type","BNB number","Archival Resource Key","ISBN","Name","Dates associated with name","Type of name","Role","All names","Title","Variant titles","Series title","Number within series","Country of publication","Place of publication","Publisher","Date of creation/publication","Edition","Physical description","Dewey classification","BL shelfmark","Genre","Languages","Notes","Provenance"
"Abused women in literature","general term","013429786","Monograph","Language material ; Text","Volume","GBA686744","","9780773459892","Tatum, Karen E. (Karen Elizabeth)","","person","","Tatum, Karen E. (Karen Elizabeth) [person]","Explaining the depiction of violence against women in Victorian literature : applying Julia Kristeva's theory of abjection to Dickens, Brontë, and Braddon","","Studies in British literature","volume 100 [Studies in British literature]","United States of America","Lampeter ; Lewiston, New York","Edwin Mellen","2005","","ii, 199 pages, 24 cm","823.8093522","YC.2007.a.6556 ; m06/.34845","","English","",""
"Acland, Arthur Henry Dyke, barrister","person","040-002038723","File. Archives and Manuscripts","","","","ark:/81055/vdc_100000000337.0x0003cd","","","","","","","","","","","","","","1836-1837","","1 item","","Western Manuscripts. Add MS 44355","","English","Vol. CCLXX (ff. 275). 1836- 1837. includes:. ff. 1, 3, 7, 15, 119, 124, 131, 133, 268 Robert Caparn, election agent; of Newark, county Nottinghamshire: Correspondence with W. E. Gladstone: 1832-1846; ff. 9, 110, 115 James Endell Tyler, Rector of St. Giles-in-the-Fields; Canon of St. Paul's 1845: Correspondence with W. E. Gladstone: 1834-1849; ff. 13, 228 John Frederick Denison Maurice, author and theologian: Correspondence with W. E. Gladstone: 1830-1841; ff. 17, 113, 129, 168, 316 William Edward Tallents, election agent, of Newark, county Nottinghamshire: Correspondence with W. E. Gladstone: 1832-1837; f. 18 William Branston, of Newark, county Nottinghamshire: Letter to W. E. Tallents: 1836.: Copy; f. 20 Joseph Anstice, Professor at King's College, London: Letters to W. E. Gladstone: 1832-1836; ff. 22, 29, 60, 62, 97, 105 Reverend Thomas Chalmers, theologian: Correspondence with W. E. Gladstone: 1834-1842; f. 24 James William Farrer, Master in Chancery: Letter to W. E. Gladstone: 1836; f. 26 Mary Harrison, mother of Archdeacon B Harrison: Letter to W. E. Gladstone: 1836; f. 27 Samuel Francis Wood, barrister: Letter to W. E. Gladstone: 1836; f. 31 Dudley Ryder, Viscount Sandon; 2nd Earl of Harrowby: Correspondence with W. E. Gladstone: 1835-1875; f. 33 John Inglis, Bishop of Nova Scotia: Letters to W. E. Gladstone: 1836, 1839; f. 35 John Inglis, Bishop of Nova Scotia: Letter to Sir C. Campbell: 1835.: Copy; ff. 40, 265 Edward Gibbon Wakefield, colonial statesman: Letters to W. E. Gladstone: 1836-1851; ff. 44-259 passim Sir Henry Taylor, KCMG; Colonial Office; author: Correspondence with W. E. Gladstone: 1836-1885; ff. 48, 51, 158 Edward Smith Godfrey, Chairman of Newark election committee: Correspondence with W. E. Gladstone: 1832-1841; ff. 54, 147 John Reddie, Chief Justice of St. Lucia: Letters to W. E. Gladstone: 1836; f. 55 William Boler, of the Royal Mint: Correspondence with W. E. Gladstone: 1836-1847; f. 58 Arthur Wellesley, 1st Duke of Wellington: Letter to Lord Aberdeen: 1836; f. 64 James Spedding, editor of the works of Sir Francis Bacon: Correspondence with W. E. Gladstone: 1836-1876; f. 66 Sir Joseph Napier, Lord Chancellor of Ireland: Correspondence with W. E. Gladstone: 1850-1865; f. 68 Kirkman Finlay, MP, Lord Provost of Glasgow: Letters to W. E. Gladstone: 1832-1836; ff. 72, 80 William Jacobson, Bishop of Chester: Correspondence with W. E. Gladstone: 1836-1884; ff. 72-96 Henry Thompson, of Magdalen Hall, Oxford: Documents rel. to: 1836-1839; ff. 75, 78 William Rawson, Rector of Seaforth: Correspondence with W. E. Gladstone: 1828-1871; ff. 88, 89 Henry Thompson, of Magdalen Hall, Oxford: Letters to W. E. Gladstone: 1836-1839; f. 90 Poetry ENGLISH: Verses by H. Thompson: 1836; f. 100 William Grant Broughton, Bishop of Sydney: Letter to E. Coleridge: 1836; ff. 104, 200 Reverend Robert Simpson, of Newark, county Nottinghamshire: Correspondence with W. E. Gladstone: 1834-1843; ff. 107, 121 Joan Canning, Viscountess Canning 1828; wife of George Canning: Letters to W. E. Gladstone: 1836; f. 126 James Bruce, 8th Earl of Elgin and 12th Earl of Kincardine: Correspondence with W. E. Gladstone: 1831-1861; ff. 135, 137 Sir George Clerk, 6th Baronet of Penicuick; statesman: Correspondence with W. E. Gladstone: 1836-1864; f. 139 Sir John Stuart Forbes, 8th Baronet; afterwards Hepburn-Forbes: Correspondence with W. E. Gladstone: 1836-1858; ff. 140, 155 Arthur Pakenham: Correspondence with W. E. Gladstone: 1832-1846; ff. 143, 197, 209, 247, 249 Joseph Williams Blakesley, Dean of Lincoln: Correspondence with W. E. Gladstone: 1833-1870; ff. 145, 146b Sir George Grey, 2nd Baronet; of Fallodon: Correspondence with W. E. Gladstone: 1836-1871; ff. 159, 199 (imperf.), 273 Edward Wilmot, of Portarlington: Letters to W. E. Gladstone: 1833-1839; f. 161 Sir Thomas Gladstone, 2nd Baronet; elder brother of WE Gladstone: Letter to Sir G. Grey: 1837.: Draft; f. 166 John Jeremiah Bigsby, geologist: Letter to, from W. E. Gladstone: 1837.: Draft; f. 173 William Selwyn, Canon of Ely: Correspondence with W. E. Gladstone: 1837-1874; f. 174 John Garrett Bussell, Vicar of Newark, county Nottinghamshire: Letter to, from W. E. Gladstone: 1837.: Draft; ff. 184, 188 Robert Benton Seeley, publisher and author: Letters to F. R. Bonham: 1837; f. 186 Stanley Lees Giffard, Editor of 'The Standard': Letters to W. E. Gladstone: 1837, 1839; f. 190 Charles James Blomfield, Bishop of London: Letter to Rev. J. Husband: 1827; f. 192 Sir Thomas Tancred, 7th Baronet: Correspondence with W. E. Gladstone: 1835-1852; ff. 194, 221, 226 Philip Pusey, MP; agriculturist: Correspondence with W. E. Gladstone: 1837-1865; f. 202 Mary Gaskell, wife of B Gaskell: Letters to W. E. Gladstone: 1830-1840; f. 204 Arthur Henry Dyke Acland, barrister: Letters to W. E. Gladstone: 1835-1852; ff. 206, 207 Stratford Canning, Viscount Stratford de Redcliffe: Correspondence with W. E. Gladstone: 1837-1880; f. 208 Charles John Canning, 2nd Viscount and (1859) Earl Canning: Letter to Sir Stratford Canning: 1837; ff. 212, 222 Henry Phillpotts, Bishop of Exeter: Correspondence with W. E. Gladstone: 1837-1866; ff. 213, 219 Sir Robert Heron, 2nd Baronet: Letters to W. E. Gladstone: 1837; f. 217 John Harty, physician: Letter to, from W. E. Gladstone: 1837.: Copy; f. 224 Colonel John MacInnes, General 1856: Letter to W. E. Gladstone: 1837; ff. 230, 260, 271 Reverend Charles Richard Elrington, Regius Professor of Divinity at Trinity College, Dublin: Letters to W. E. Gladstone: 1837-1844; f. 236 Charlotte Brontë, author: Letter to, from Robert Southey: 1837.: Copy; f. 236 Robert Southey, poet: Letter to Charlotte Brontë: 1837.: Copy; f. 240 George William Finch-Hatton, 10th Earl of Winchilsea: Correspondence with W. E. Gladstone: 1832-1845; f. 241 Digby Willoughby, 7th Baron Middleton: Letters to W. E. Gladstone: 1837, 1841; f. 242 Manchester, Lancashire: Invitation to W. E. Gladstone to contest the constituency: 1837; f. 243 Hon Edward Harcourt, formerly Venables-Vernon; Archbishop of York: Letters to W. E. Gladstone: 1837-1841; f. 245 Isabella Ramsay, wife of Dean Ramsay: Letters to W. E. Gladstone: 1834-1843; f. 252 Sir Thomas Fowell Buxton, 1st Baronet; philanthropist: Letters to W. E. Gladstone: 1837-1840; f. 257 Sir James Stephen, KCB: Correspondence with W. E. Gladstone: 1835-1855; f. 266 Arthur Wellesley, 1st Duke of Wellington: Correspondence with W. E. Gladstone: 1837-1846",""
"Adventure stories, English","general term","015347622","Monograph","Language material ; Text","Volume","GBA979838","","9781843912019","Brontë, Charlotte","1816-1855","person","","Brontë, Charlotte, 1816-1855 [person]","Tales of the islanders","","Hesperus classics","","England","London","Hesperus","2011","","xii, 88 pages, 20 cm","823.8","YK.2012.a.8896","","English","introduction by Jessica Cox",""
"Albert, Prince Consort of Queen Victoria, 1819-1861","person","040-001966392","File. Archives and Manuscripts","","","","ark:/81055/vdc_100000000970.0x000287","","","","","","","","","","","","","","[1900-1903]","","1 item","","Western Manuscripts. Add MS 71934","","English","SUPPLEMENTARY BENTLEY PAPERS. Vol. XIV. Photograph album of George Bentley. includes:. f. 1 George Bentley, of Richard Bentley and Son, publishers: Photograph of George Bentley: n.d; f. 1v Conder: Photograph: n.d; f. 1v Watts Dunton: Photograph of Watts Dunton: n.d; f. 2 Reverend Charles Kingsley, author: Photograph of Rev. Charles Kingsley: n.d; f. 2 Anne Edwards: Photograph of Anne Edwards: n.d; f. 2 Giuseppe Garibaldi, Italian patriot: Photograph of Giuseppe Garibaldi: n.d; f. 2 J. R. Heron Maxwell, Captain, 15th KH: Photograph of J. R. Heron Maxwell: n.d; f. 3 William Ewart Gladstone, Prime Minister: Photograph of William Ewart Gladstone: n.d; f. 3 Charles Dickens, novelist: Photograph of Charles Dickens: n.d; f. 3v Eva Muller: Photograph of Eva Muller: 1898; f. 4 Otto Edward Leopold Bismarck, Prince Bismarck Schönhausen; German Chancellor: Photograph of Otto Edward Leopold Bismarck: n.d; f. 4 Alice Ellen Terry, GBE; actress: Photograph of Alice Ellen Terry: n.d; f. 4 Little, captain: Photograph of - Little: n.d; f. 5v Richard Bentley, publisher (I): Photograph of Richard Bentley: n.d; f. 6 J. Hissey, Author: Photograph of J. Hissey: n.d; f. 7 John Ruskin, author, artist and social reformer: Photograph of John Ruskin: n.d; f. 7v Sir Edward Shepherd Creasy, historian: Photograph of Sir Edward Shepherd Creasy: n.d; ff. 7, 17 Hugo Daubert: Photographs of Hugo Daubert: n.d; f. 8 Alfred Tennyson, 1st Baron Tennyson; Poet Laureate: Photograph of Alfred Tennyson: n.d; f. 8v Barone Carlo Marochetti,; sculptor; d.1869: Photograph of Barone Carlo Marochetti: n.d; f. 8v Johann Christoph Friedrich von Schiller, poet: Portrait of Johann Christoph Friedrich von Schiller: n.d; f. 8v Victoria of England; Albert, Prince Consort: Photograph of Prince Albert: n.d; f. 9 Fraser Duff: Photograph of Fraser Duff: n.d; f. 9 Thomas Carlyle, historian; d.1881: Photograph of Thomas Carlyle: n.d; f. 9 Algernon Charles Swinburne, poet: Photograph of Algernon Charles Swinburne: n.d; f. 9 Farbrother: Photograph of - Farbrother: n.d; f. 9v Louise Victoria Alexandra Dagmar, Princess Royal; wife of Alexander, 1st Duke of Fife: Photograph of Louise Victoria Alexandra Dagmar: n.d; f. 10 Maximilian I; Emperor of Mexico: Photograph of Maximilian I: n.d; f. 10 Tiemmus Wint: Photograph of Tiemmus Wint: n.d; f. 10 William Frend De Morgan, writer: Photograph of William Frend De Morgan: n.d; f. 10v Reverend W. Hickman: Photograph of Rev. W. Hickman: n.d; f. 11 Alfredo Piatti, cellist and composer: Photograph of Alfredo Piatti: n.d; f. 11 Olaf Svendgen: Photograph of Olaf Svendgen: n.d; f. 11 Richard Jefferies: Photograph of Richard Jefferies: n.d; f. 11 Robert Browning, poet: Photograph of Robert Browning: n.d; f. 13 Lucy Rosamund Bentley, wife of Richard Bentley, publisher (II): Photograph of Lucy Rosamund Bentley: n.d; f. 13 Persia, Shahs of. Pahlevy: Photograph of Shah of Persia: n.d; f. 13 George William Frederick Charles, 2nd Duke of Cambridge: Photograph of 2nd Duke of Cambridge: n.d; ff. 14, 21 Henry John Temple, 3rd Viscount Palmerston; Prime Minister: Photographs of Henry John Temple: n.d; f. 15 Ernest Christopher Dowson, poet: Photograph of Ernest Christopher Dowson: n.d; f. 15v George MacDonald, author: Photograph of George MacDonald: n.d; f. 17v Anne Bentley, wife of George Bentley, publisher: Photograph of Anne Bentley: n.d; f. 19 Francis Joseph Leopold Frederick Teck, Prince of: Photograph of Prince of Teck: n.d; f. 19 B. Foster: Photograph of B. Foster: n.d; f. 20 Frederic Leighton, Baron Leighton; PRA: Photograph of Frederic Leighton: n.d; f. 20 Robert Louis Stevenson, writer: Photograph of Robert Louis Stevenson: n.d; f. 21 Terese Tietzion: Photograph of Terese Tietzion: n.d; f. 21v Ralph Waldo Emerson, American essayist: Photograph of Ralph Waldo Emerson: n.d; f. 22 Charlotte Brontë, author: Portrait of Charlotte Brontë: n.d; f. 22 Victoria of England: Photograph of Queen Victoria: n.d; f. 22 Richard Le Gallienne, author: Photograph of Richard Le Gallienne: n.d",""
"Alcott, Louisa May, 1832-1888--Knowledge--Literature","person","008503430","Monograph","Language material ; Text","Volume","","","9781572330832","Doyle, Christine","","person","","Doyle, Christine [person]","Louisa May Alcott and Charlotte Brontë : transatlantic translations","","","","United States of America","Knoxville","University of Tennessee Press","2000","1st edition","","813.4","m00/43455","","English","",""
"American fiction","general term","019588461","Monograph","Language material ; Text","Online resource","GBB9H8558","","9781137581693","Kapurch, Katie","1983-","person","author","Kapurch, Katie, 1983-, author [person]","Victorian melodrama in the twenty-first century : Jane Eyre, Twilight, and the mode of excess in girl culture","","","","United States of America","New York","Palgrave Macmillan","2016","","1 online resource","813.009352352","ELD.DS.466477","Criticsm and interpretation","English","",""
"American fiction--21st century--History and criticism","general term","017856366","Monograph","Language material ; Text","Volume","GBB669304","","9781137590602","Kapurch, Katie","1983-","person","author","Kapurch, Katie, 1983-, author [person]","Victorian melodrama in the twenty-first century : Jane Eyre, Twilight, and the mode of excess in girl culture","","","","United States of America","New York","Palgrave Macmillan","2016","","1 volume, 21 cm","813.009352352","","","English","",""
"American fiction--21st century--History and criticism","general term","019588461","Monograph","Language material ; Text","Online resource","GBB9H8558","","9781137581693","Kapurch, Katie","1983-","person","author","Kapurch, Katie, 1983-, author [person]","Victorian melodrama in the twenty-first century : Jane Eyre, Twilight, and the mode of excess in girl culture","","","","United States of America","New York","Palgrave Macmillan","2016","","1 online resource","813.009352352","ELD.DS.466477","Criticsm and interpretation","English","",""
"American fiction--English influences","general term","008503430","Monograph","Language material ; Text","Volume","","","9781572330832","Doyle, Christine","","person","","Doyle, Christine [person]","Louisa May Alcott and Charlotte Brontë : transatlantic translations","","","","United States of America","Knoxville","University of Tennessee Press","2000","1st edition","","813.4","m00/43455","","English","",""
"American fiction--English influences","general term","013271568","Monograph","Language material ; Text","Volume","GBA717475","","9780874138863","Seelye, John","1931-2015","person","","Seelye, John, 1931-2015 [person]","Jane Eyre's American daughters : from The wide, wide world to Anne of Green Gables : a study of marginalized maidens and what they mean","","","","United States of America","Newark, Delaware","Associated University Presses ; University of Delaware Press","2005","","368 pages, 25 cm","813.4099287","YC.2007.a.3220 ; m05/.31118","","English","",""
